relations,algorithm_mix,min_ms,p10_ms,median_ms,p90_ms,max_ms,median_candidate_operators,median_connected_subgraphs,median_dp_states,median_repaired_subproblems
10,dphyp=9,0.14525,0.14728360000000001,0.273667,0.4432744,0.448208,464,,115,0
20,dphyp=6; linearized_dp=3,6.233875,6.242675,20.889292,30.3313836,30.42175,30215,3360.5,2897,0
30,linearized_dp=9,7.116833,7.6791002,8.984959,9.5320414,10.737875,84,,70,0
40,linearized_dp=9,8.117708,8.118407999999999,9.148833,9.3588166,9.505583,104,,90,0
70,linearized_dp=9,11.980292,12.1201584,13.116333,14.0381416,14.155208,168,,152,0
100,linearized_dp=9,18.740667,18.7571334,18.919042,19.8365584,19.923792,230,,213,0
128,goo_linearized_dp=9,18.637416,18.7730832,19.512791,21.265025,23.511625,795,,277,2
192,goo_linearized_dp=9,26.500834,26.546234,27.13525,35.7758922,35.895625,1204,,408,3
256,goo_linearized_dp=9,37.928875,38.3154422,40.372584,43.101682999999994,43.230583,1629,,550,3
512,goo_linearized_dp=9,69.39225,69.4012836,77.020375,79.454383,80.464583,3337,,1141,7
1024,goo_linearized_dp=9,150.3035,151.3424336,157.3565,196.82232499999998,197.085625,6939,,2285,15
2000,goo_linearized_dp=9,444.224,447.351,466.027458,485.69294160000004,490.482208,13545,,4510,28
5000,goo_linearized_dp=9,2000.35275,2000.4876172,2037.878083,2118.8854998,2125.976167,32869,,10057,66
