relations,variant,selected_algorithm_mix,samples,min_ms,p10_ms,median_ms,p90_ms,p95_ms,max_ms,median_candidate_operators,median_connected_subgraphs,median_dp_states,median_repaired_subproblems
10,adaptive,dphyp=9,9,0.14525,0.14728360000000001,0.273667,0.4432744,0.4457412,0.448208,464,,115,0
10,dphyp,dphyp=9,9,0.1475,0.1484336,0.276208,0.44605800000000007,0.448008,0.449958,464,,115,0
10,goo_dp,goo_linearized_dp=9,9,0.137625,0.1377586,0.147625,0.1638006,0.1707338,0.177667,56,,26,1
10,linearized_dp,linearized_dp=9,9,0.085584,0.0946168,0.11575,0.1325498,0.14098339999999998,0.149417,34,,26,0
12,dphyp,dphyp=9,9,0.307916,0.31035039999999997,0.799417,1.785608,1.7881580000000001,1.790708,1440,,268,0
14,dphyp,dphyp=9,9,0.922375,0.9250414,1.668542,4.6187086,4.620791799999999,4.622875,2964,,456,0
16,dphyp,dphyp=9,9,2.010834,2.0278332,4.037833,14.095958199999998,14.1073746,14.118791,7006,,898,0
18,dphyp,dphyp=9,9,6.869334,6.880334,9.831583,42.461,42.7565,43.052,16358,,1767,0
20,adaptive,dphyp=6; linearized_dp=3,9,6.233875,6.242675,20.889292,30.3313836,30.3765668,30.42175,30215,3360.5,2897,0
20,goo_dp,goo_linearized_dp=9,9,0.428875,0.4409422,0.474333,0.5595336,0.5922668,0.625,124,,50,1
20,linearized_dp,linearized_dp=9,9,0.315291,0.3174582,0.395125,0.5803914,0.5975081999999999,0.614625,64,,50,0
30,adaptive,linearized_dp=9,9,7.116833,7.6791002,8.984959,9.5320414,10.1349582,10.737875,84,,70,0
30,goo_dp,goo_linearized_dp=9,9,0.872,0.8768328,0.914583,1.0211996,1.0347668,1.048334,189,,70,1
30,linearized_dp,linearized_dp=9,9,0.724833,0.7266665999999999,0.738875,0.858808,0.859008,0.859208,84,,70,0
40,adaptive,linearized_dp=9,9,8.117708,8.118407999999999,9.148833,9.3588166,9.4321998,9.505583,104,,90,0
40,goo_dp,goo_linearized_dp=9,9,1.44975,1.4501836,1.529542,1.6483505999999999,1.6671338,1.685917,239,,90,1
40,linearized_dp,linearized_dp=9,9,1.245459,1.2455582,1.314167,1.4248577999999998,1.4329914000000001,1.441125,104,,90,0
70,adaptive,linearized_dp=9,9,11.980292,12.1201584,13.116333,14.0381416,14.096674799999999,14.155208,168,,152,0
70,goo_dp,goo_linearized_dp=9,9,4.319625,4.323425,4.688959,6.5261836,7.038216799999999,7.55025,419,,152,1
70,linearized_dp,linearized_dp=9,9,3.9585,3.9603336000000002,4.423417,4.5051917999999995,4.5337414,4.562291,168,,152,0
100,adaptive,linearized_dp=9,9,18.740667,18.7571334,18.919042,19.8365584,19.8801752,19.923792,230,,213,0
100,goo_dp,goo_linearized_dp=9,9,9.194,9.1977,9.939417,10.02105,10.0734,10.12575,613,,213,1
100,linearized_dp,linearized_dp=9,9,8.78175,8.78345,9.472083,9.580341599999999,9.5842748,9.588208,230,,213,0
128,adaptive,goo_linearized_dp=9,9,18.637416,18.7730832,19.512791,21.265025,22.388325000000002,23.511625,795,,277,2
128,goo_dp,goo_linearized_dp=9,9,8.105125,8.190491399999999,8.303583,9.482858,9.827157999999999,10.171458,795,,277,2
128,linearized_dp,linearized_dp=9,9,15.3785,15.3918664,15.981583,16.285225,16.298925,16.312625,286,,269,0
192,adaptive,goo_linearized_dp=9,9,26.500834,26.546234,27.13525,35.7758922,35.835758600000005,35.895625,1204,,408,3
192,goo_dp,goo_linearized_dp=9,9,13.211375,13.2199422,14.209292,20.4870584,20.8529252,21.218792,1204,,408,3
192,linearized_dp,linearized_dp=9,9,41.089791,41.1650246,42.910042,46.1308164,46.5820332,47.03325,414,,397,0
256,adaptive,goo_linearized_dp=9,9,37.928875,38.3154422,40.372584,43.101682999999994,43.166133,43.230583,1629,,550,3
256,goo_dp,goo_linearized_dp=9,9,23.530125,23.5521586,23.723625,25.9393752,25.9785416,26.017708,1629,,550,3
256,linearized_dp,linearized_dp=9,9,83.60825,83.7576828,86.014917,87.5520422,88.76570860000001,89.979375,544,,526,0
512,adaptive,goo_linearized_dp=9,9,69.39225,69.4012836,77.020375,79.454383,79.959483,80.464583,3337,,1141,7
512,goo_dp,goo_linearized_dp=9,9,45.472584,45.4992168,58.483584,61.72931620000001,61.94986659999999,62.170417,3337,,1141,7
1024,adaptive,goo_linearized_dp=9,9,150.3035,151.3424336,157.3565,196.82232499999998,196.95397499999999,197.085625,6939,,2285,15
1024,goo_dp,goo_linearized_dp=9,9,122.89225,123.0284164,125.779917,176.31889940000002,178.7666162,181.214333,6939,,2285,15
2000,adaptive,goo_linearized_dp=9,9,444.224,447.351,466.027458,485.69294160000004,488.0875748,490.482208,13545,,4510,28
2000,goo_dp,goo_linearized_dp=9,9,385.423375,386.70397500000007,416.732042,439.5141,439.90255,440.291,13545,,4510,28
5000,adaptive,goo_linearized_dp=9,9,2000.35275,2000.4876172,2037.878083,2118.8854998,2122.4308333999998,2125.976167,32869,,10057,66
5000,goo_dp,goo_linearized_dp=9,9,1930.053708,1930.4191416,1984.319292,2086.4878006,2088.3897337999997,2090.291667,32869,,10057,66
