suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators
random_tree_algorithms,random_tree,10,adaptive,DpHyp,0,0,1,1629417,464
random_tree_algorithms,random_tree,10,adaptive,DpHyp,0,1,1,265875,464
random_tree_algorithms,random_tree,10,adaptive,DpHyp,0,2,1,244958,464
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,0,0,1,28583,28
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,0,1,1,24959,28
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,0,2,1,23541,28
random_tree_algorithms,random_tree,10,goo_dp,GooDp,0,0,1,258666,509
random_tree_algorithms,random_tree,10,goo_dp,GooDp,0,1,1,254834,509
random_tree_algorithms,random_tree,10,goo_dp,GooDp,0,2,1,537000,509
random_tree_algorithms,random_tree,10,adaptive,DpHyp,1,0,1,894333,873
random_tree_algorithms,random_tree,10,adaptive,DpHyp,1,1,1,482542,873
random_tree_algorithms,random_tree,10,adaptive,DpHyp,1,2,1,412125,873
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,1,0,1,22708,11
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,1,1,1,261209,11
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,1,2,1,21417,11
random_tree_algorithms,random_tree,10,goo_dp,GooDp,1,0,1,444541,918
random_tree_algorithms,random_tree,10,goo_dp,GooDp,1,1,1,415417,918
random_tree_algorithms,random_tree,10,goo_dp,GooDp,1,2,1,467458,918
random_tree_algorithms,random_tree,10,adaptive,DpHyp,2,0,1,149791,240
random_tree_algorithms,random_tree,10,adaptive,DpHyp,2,1,1,138750,240
random_tree_algorithms,random_tree,10,adaptive,DpHyp,2,2,1,135708,240
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,2,0,1,26791,25
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,2,1,1,24209,25
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,2,2,1,23209,25
random_tree_algorithms,random_tree,10,goo_dp,GooDp,2,0,1,157208,285
random_tree_algorithms,random_tree,10,goo_dp,GooDp,2,1,1,153167,285
random_tree_algorithms,random_tree,10,goo_dp,GooDp,2,2,1,150416,285
random_tree_algorithms,random_tree,20,adaptive,DpHyp,0,0,1,20731042,30215
random_tree_algorithms,random_tree,20,adaptive,DpHyp,0,1,1,17629625,30215
random_tree_algorithms,random_tree,20,adaptive,DpHyp,0,2,1,17555500,30215
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,0,0,1,73959,64
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,0,1,1,68250,64
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,0,2,1,66291,64
random_tree_algorithms,random_tree,20,goo_dp,GooDp,0,0,1,332792,491
random_tree_algorithms,random_tree,20,goo_dp,GooDp,0,1,1,325792,491
random_tree_algorithms,random_tree,20,goo_dp,GooDp,0,2,1,319750,491
random_tree_algorithms,random_tree,20,adaptive,LinearizedDp,1,0,1,1853250,23
random_tree_algorithms,random_tree,20,adaptive,LinearizedDp,1,1,1,1838042,23
random_tree_algorithms,random_tree,20,adaptive,LinearizedDp,1,2,1,1843625,23
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,1,0,1,52041,23
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,1,1,1,50916,23
