relations,variant,baseline_median_ms,current_median_ms,current_over_baseline,percent_change
10,adaptive,0.265875,0.273667,1.0293070051716033,2.930700517160334
10,dphyp,0.230208,0.276208,1.199819293855991,19.981929385599106
10,goo_dp,0.258666,0.147625,0.5707166771048379,-42.92833228951621
10,linearized_dp,0.024209,0.11575,4.781279689371721,378.1279689371721
12,dphyp,0.710583,0.799417,1.125015656158394,12.501565615839393
14,dphyp,1.501375,1.668542,1.1113426026142703,11.13426026142703
16,dphyp,3.622208,4.037833,1.1147435486863262,11.47435486863262
18,dphyp,8.7395,9.831583,1.1249594370387324,12.495943703873236
20,adaptive,17.629625,20.889292,1.18489712628601,18.489712628600998
20,goo_dp,0.608,0.474333,0.7801529605263158,-21.984703947368423
20,linearized_dp,0.065667,0.395125,6.017101436033319,501.7101436033319
30,adaptive,2.592166,8.984959,3.466197380877613,246.61973808776133
30,goo_dp,1.012709,0.914583,0.9031054330513504,-9.689456694864962
30,linearized_dp,0.122458,0.738875,6.033701350667167,503.3701350667167
40,adaptive,3.424375,9.148833,2.6716796495710895,167.16796495710895
40,goo_dp,1.893208,1.529542,0.8079101715183963,-19.20898284816037
40,linearized_dp,0.224083,1.314167,5.8646439042676155,486.46439042676155
70,adaptive,7.923167,13.116333,1.655440684261735,65.54406842617351
70,goo_dp,11.279042,4.688959,0.4157231615947524,-58.42768384052476
70,linearized_dp,0.871416,4.423417,5.076125524433795,407.6125524433795
100,adaptive,13.161333,18.919042,1.4374715691792008,43.74715691792008
100,goo_dp,43.313917,9.939417,0.22947398176895434,-77.05260182310457
100,linearized_dp,2.425667,9.472083,3.904939548586018,290.4939548586018
128,adaptive,111.691166,19.512791,0.17470308260547662,-82.52969173945233
128,goo_dp,113.146458,8.303583,0.07338791816178639,-92.66120818382136
128,linearized_dp,4.916834,15.981583,3.2503808344963447,225.03808344963448
192,adaptive,610.952209,27.13525,0.044414685142745755,-95.55853148572542
192,goo_dp,616.516958,14.209292,0.023047690441630964,-97.6952309558369
192,linearized_dp,15.657584,42.910042,2.7405276573959303,174.05276573959304
256,adaptive,2223.087417,40.372584,0.018160592197711135,-98.18394078022888
256,goo_dp,2225.855875,23.723625,0.010658203555070698,-98.93417964449293
256,linearized_dp,35.925083,86.014917,2.3942858253104102,139.42858253104103
