suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators,connected_subgraphs,dp_states_created,repaired_subproblems
random_tree_algorithms,random_tree,10,adaptive,dphyp,0,0,1,307083,464,,115,0
random_tree_algorithms,random_tree,10,adaptive,dphyp,0,1,1,273667,464,,115,0
random_tree_algorithms,random_tree,10,adaptive,dphyp,0,2,1,269792,464,,115,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,0,0,1,149417,37,,28,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,0,1,1,128333,37,,28,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,0,2,1,120625,37,,28,0
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,0,0,1,177667,61,,28,1
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,0,1,1,160334,61,,28,1
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,0,2,1,158542,61,,28,1
random_tree_algorithms,random_tree,10,adaptive,dphyp,1,0,1,442041,873,,197,0
random_tree_algorithms,random_tree,10,adaptive,dphyp,1,1,1,448208,873,,197,0
random_tree_algorithms,random_tree,10,adaptive,dphyp,1,2,1,432125,873,,197,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,1,0,1,96875,20,,20,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,1,1,1,98125,20,,20,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,1,2,1,85584,20,,20,0
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,1,0,1,145375,53,,20,1
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,1,1,1,137792,53,,20,1
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,1,2,1,137625,53,,20,1
random_tree_algorithms,random_tree,10,adaptive,dphyp,2,0,1,151000,240,,70,0
random_tree_algorithms,random_tree,10,adaptive,dphyp,2,1,1,147792,240,,70,0
random_tree_algorithms,random_tree,10,adaptive,dphyp,2,2,1,145250,240,,70,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,2,0,1,123459,34,,26,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,2,1,1,115750,34,,26,0
random_tree_algorithms,random_tree,10,linearized_dp,linearized_dp,2,2,1,112959,34,,26,0
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,2,0,1,154416,56,,26,1
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,2,1,1,147625,56,,26,1
random_tree_algorithms,random_tree,10,goo_dp,goo_linearized_dp,2,2,1,145125,56,,26,1
random_tree_algorithms,random_tree,20,adaptive,dphyp,0,0,1,21195708,30215,2897,2897,0
random_tree_algorithms,random_tree,20,adaptive,dphyp,0,1,1,20804500,30215,2897,2897,0
random_tree_algorithms,random_tree,20,adaptive,dphyp,0,2,1,20889292,30215,2897,2897,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,0,0,1,571833,83,,60,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,0,1,1,540625,83,,60,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,0,2,1,614625,83,,60,0
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,0,0,1,625000,137,,60,1
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,0,1,1,543167,137,,60,1
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,0,2,1,526542,137,,60,1
random_tree_algorithms,random_tree,20,adaptive,linearized_dp,1,0,1,6244875,42,,41,0
random_tree_algorithms,random_tree,20,adaptive,linearized_dp,1,1,1,6233875,42,,41,0
random_tree_algorithms,random_tree,20,adaptive,linearized_dp,1,2,1,6245875,42,,41,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,1,0,1,318000,42,,41,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,1,1,1,319792,42,,41,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,1,2,1,315291,42,,41,0
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,1,0,1,450458,111,,41,1
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,1,1,1,443959,111,,41,1
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,1,2,1,428875,111,,41,1
random_tree_algorithms,random_tree,20,adaptive,dphyp,2,0,1,30308792,42068,3824,3824,0
random_tree_algorithms,random_tree,20,adaptive,dphyp,2,1,1,30421750,42068,3824,3824,0
random_tree_algorithms,random_tree,20,adaptive,dphyp,2,2,1,29464125,42068,3824,3824,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,2,0,1,462916,64,,50,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,2,1,1,395125,64,,50,0
random_tree_algorithms,random_tree,20,linearized_dp,linearized_dp,2,2,1,383917,64,,50,0
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,2,0,1,531958,124,,50,1
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,2,1,1,474125,124,,50,1
random_tree_algorithms,random_tree,20,goo_dp,goo_linearized_dp,2,2,1,474333,124,,50,1
