shape,variant,relations,representation,samples,min_ns,p10_ns,median_ns,p90_ns,max_ns
mixed_set_ops,allocating_assign,32,Inline64,5,6.56455,6.56539,6.5667,6.57416,6.575
mixed_set_ops,allocating_assign,63,Inline64,5,6.56455,6.56457,6.56665,6.58583,6.59165
mixed_set_ops,allocating_assign,64,Inline64,5,6.75205,6.75207,6.75625,6.764569999999999,6.76875
mixed_set_ops,allocating_assign,65,Inline128,5,7.9292,7.930859999999999,7.9417,7.94834,7.95
mixed_set_ops,allocating_assign,127,Inline128,5,7.9271,7.92794,7.9375,7.94209,7.94375
mixed_set_ops,allocating_assign,128,Inline128,5,7.9229,7.92542,7.93125,7.940860000000001,7.9417
mixed_set_ops,allocating_assign,129,Dense,5,30.85835,30.860010000000003,30.87085,30.892920000000004,30.9021
mixed_set_ops,allocating_assign,256,Dense,5,32.3354,32.33708,32.35,32.36748,32.3708
mixed_set_ops,allocating_assign,512,Dense,5,34.9646,34.978759999999994,35.0021,35.29249,35.37915
mixed_set_ops,allocating_assign,1024,Dense,5,44.4021,44.40626,44.4896,44.545,44.5625
mixed_set_ops,borrowed_union,32,Inline64,5,7.70415,7.7049900000000004,7.7083,7.7183399999999995,7.725
mixed_set_ops,borrowed_union,63,Inline64,5,7.70625,7.706249999999999,7.71875,7.73166,7.7375
mixed_set_ops,borrowed_union,64,Inline64,5,7.9229,7.92374,7.96045,7.9662500000000005,7.96875
mixed_set_ops,borrowed_union,65,Inline128,5,8.5104,8.51456,8.5229,8.87584,9.05
mixed_set_ops,borrowed_union,127,Inline128,5,8.21875,8.22041,8.2479,8.26294,8.2646
mixed_set_ops,borrowed_union,128,Inline128,5,8.2229,8.235399999999998,8.2583,8.31375,8.34375
mixed_set_ops,borrowed_union,129,Dense,5,32.01665,32.02415,32.0458,32.05582,32.0625
mixed_set_ops,borrowed_union,256,Dense,5,32.92705,32.93041,32.93955,32.9621,32.9771
mixed_set_ops,borrowed_union,512,Dense,5,35.83545,35.83793,35.84795,36.11956,36.2979
mixed_set_ops,borrowed_union,1024,Dense,5,44.925,44.929159999999996,44.95835,45.0329,45.0479
mixed_set_ops,in_place_assign,32,Inline64,5,5.4229,5.4229,5.425,5.43502,5.4417
mixed_set_ops,in_place_assign,63,Inline64,5,5.4229,5.4229,5.43335,5.44002,5.4417
mixed_set_ops,in_place_assign,64,Inline64,5,5.5771,5.578759999999999,5.5833,5.79791,5.93955
mixed_set_ops,in_place_assign,65,Inline128,5,6.45835,6.4600100000000005,6.4625,6.484999999999999,6.4875
mixed_set_ops,in_place_assign,127,Inline128,5,6.1625,6.165,6.17915,6.18248,6.1833
mixed_set_ops,in_place_assign,128,Inline128,5,6.1604,6.16206,6.1646,6.17626,6.1771
mixed_set_ops,in_place_assign,129,Dense,5,7.3417,7.341700000000001,7.3521,7.375440000000001,7.3771
mixed_set_ops,in_place_assign,256,Dense,5,9.9771,9.982099999999999,10.00415,10.00874,10.0104
mixed_set_ops,in_place_assign,512,Dense,5,11.15,11.1575,11.2125,11.3,11.3125
mixed_set_ops,in_place_assign,1024,Dense,5,17.6125,18.63916,21.37295,21.685000000000002,21.85
set_build,from_iter,32,Inline64,5,71.0,71.0336,71.084,71.9832,72.416
set_build,from_iter,63,Inline64,5,104.25,104.5164,105.25,105.7164,105.75
set_build,from_iter,64,Inline64,5,105.75,105.94999999999999,106.334,106.8004,106.834
set_build,from_iter,65,Inline128,5,109.582,109.78199999999998,110.416,110.71719999999999,110.918
set_build,from_iter,127,Inline128,5,177.668,177.7344,177.918,178.4492,178.582
set_build,from_iter,128,Inline128,5,177.5,177.6664,178.25,178.5996,178.666
set_build,from_iter,129,Dense,5,180.834,180.9004,181.332,184.7336,187.0
set_build,from_iter,256,Dense,5,285.416,285.7496,287.584,288.632,288.832
set_build,from_iter,512,Dense,5,550.916,551.7832,553.168,553.25,553.25
set_build,from_iter,1024,Dense,5,1107.5,1107.5336,1109.582,1111.9840000000002,1113.084
set_build,incremental_with,32,Inline64,5,70.334,70.3668,70.5,70.9996,71.166
set_build,incremental_with,63,Inline64,5,153.834,155.7004,158.832,159.3332,159.666
set_build,incremental_with,64,Inline64,5,158.166,158.266,158.75,160.0996,160.666
set_build,incremental_with,65,Inline128,5,165.5,165.5336,165.666,166.81560000000002,167.082
set_build,incremental_with,127,Inline128,5,346.0,346.2664,346.916,347.3828,347.582
set_build,incremental_with,128,Inline128,5,346.334,346.4332,346.916,347.68280000000004,347.75
set_build,incremental_with,129,Dense,5,461.834,461.9668,462.75,463.966,464.666
set_build,incremental_with,256,Dense,5,7418.75,7421.283600000001,7428.0,7449.633599999999,7464.0
set_build,incremental_with,512,Dense,5,21975.166,21996.033199999998,22035.418,22131.366800000003,22181.666
set_build,incremental_with,1024,Dense,5,53985.832,54002.0992,54082.416,54211.2172,54217.918
sparse_set_ops,allocating_assign,1025,Sparse,5,54.12085,54.12585,54.18335,55.04542,55.4521
sparse_set_ops,allocating_assign,4097,Sparse,5,48.5479,48.56456,48.84165,49.007909999999995,49.03125
sparse_set_ops,allocating_assign,16385,Sparse,5,48.5521,48.55292,48.55835,48.81664000000001,48.9833
sparse_set_ops,borrowed_union,1025,Sparse,5,48.4229,48.46456,48.53335,48.897890000000004,48.93955
sparse_set_ops,borrowed_union,4097,Sparse,5,45.6,45.605000000000004,45.6125,45.90039,45.90205
