shape	relations	width	evaluator	repetition	selected_algorithm	duration_ns	appended_operator_count
chain	12	16	deferred	0	DpHyp	3180542	11
chain	12	16	materializing	0	DpHyp	3334208	286
chain	12	16	materializing	1	DpHyp	2866916	286
chain	12	16	deferred	1	DpHyp	2734083	11
chain	12	16	deferred	2	DpHyp	3002708	11
chain	12	16	materializing	2	DpHyp	2850584	286
chain	12	16	materializing	3	DpHyp	3251333	286
chain	12	16	deferred	3	DpHyp	2836042	11
chain	12	16	deferred	4	DpHyp	2930500	11
chain	12	16	materializing	4	DpHyp	2933292	286
chain	12	16	materializing	5	DpHyp	2976500	286
chain	12	16	deferred	5	DpHyp	2750792	11
chain	12	64	deferred	0	DpHyp	9249000	11
chain	12	64	materializing	0	DpHyp	9657042	286
chain	12	64	materializing	1	DpHyp	10940375	286
chain	12	64	deferred	1	DpHyp	9247458	11
chain	12	64	deferred	2	DpHyp	8589292	11
chain	12	64	materializing	2	DpHyp	9874875	286
chain	12	64	materializing	3	DpHyp	9860417	286
chain	12	64	deferred	3	DpHyp	8842334	11
chain	12	64	deferred	4	DpHyp	9326250	11
chain	12	64	materializing	4	DpHyp	9701875	286
chain	12	64	materializing	5	DpHyp	10441458	286
chain	12	64	deferred	5	DpHyp	9487750	11
chain	65	1	deferred	0	DpHyp	341145959	64
chain	65	1	materializing	0	DpHyp	368662916	45760
chain	65	1	materializing	1	DpHyp	367567250	45760
chain	65	1	deferred	1	DpHyp	313990500	64
chain	65	1	deferred	2	DpHyp	317178958	64
chain	65	1	materializing	2	DpHyp	372941250	45760
chain	65	1	materializing	3	DpHyp	365178750	45760
chain	65	1	deferred	3	DpHyp	306513625	64
chain	65	1	deferred	4	DpHyp	311137041	64
chain	65	1	materializing	4	DpHyp	367100792	45760
chain	65	1	materializing	5	DpHyp	363479291	45760
chain	65	1	deferred	5	DpHyp	314775416	64
clique	9	16	deferred	0	DpHyp	261165583	8
clique	9	16	materializing	0	DpHyp	333885583	24604
clique	9	16	materializing	1	DpHyp	333932541	24604
clique	9	16	deferred	1	DpHyp	263116375	8
clique	9	16	deferred	2	DpHyp	267426667	8
clique	9	16	materializing	2	DpHyp	340878333	24604
clique	9	16	materializing	3	DpHyp	339147833	24604
clique	9	16	deferred	3	DpHyp	276921333	8
clique	9	16	deferred	4	DpHyp	261684917	8
clique	9	16	materializing	4	DpHyp	342205458	24604
clique	9	16	materializing	5	DpHyp	386553208	24604
clique	9	16	deferred	5	DpHyp	262495208	8
clique	9	64	deferred	0	DpHyp	748785750	8
clique	9	64	materializing	0	DpHyp	930302416	24604
clique	9	64	materializing	1	DpHyp	969646291	24604
clique	9	64	deferred	1	DpHyp	741292958	8
clique	9	64	deferred	2	DpHyp	742142875	8
clique	9	64	materializing	2	DpHyp	1056706292	24604
clique	9	64	materializing	3	DpHyp	1028359542	24604
clique	9	64	deferred	3	DpHyp	737896167	8
clique	9	64	deferred	4	DpHyp	726228000	8
clique	9	64	materializing	4	DpHyp	949640958	24604
clique	9	64	materializing	5	DpHyp	950128166	24604
clique	9	64	deferred	5	DpHyp	734447125	8
