relations,variant,samples,min_ms,p10_ms,median_ms,p90_ms,p95_ms,max_ms,median_candidate_operators
10,adaptive,10,0.156709,0.2087956,0.3288125,0.47333329999999996,0.5187081499999999,0.564083,445.0
10,dphyp,10,0.129542,0.1723289,0.223979,0.3789327,0.38688285,0.394833,445.0
10,goo_dp,10,0.227292,0.2310792,0.3401665,0.5032131,0.53191905,0.560625,490.0
10,linearized_dp,10,0.018542,0.0254423,0.0352295,0.061788099999999985,0.08970654999999993,0.117625,26.0
12,dphyp,10,0.239458,0.40168300000000007,0.6678329999999999,1.1920377999999998,1.3737063999999997,1.555375,1397.0
14,dphyp,10,0.819417,1.1487414,1.6955415,2.9942371999999997,3.6170560999999983,4.239875,3294.0
16,dphyp,10,1.760458,2.6057838999999996,4.0321875,9.177691399999999,11.469804199999995,13.761917,7739.5
18,dphyp,10,6.222959,8.0010215,12.454896,25.681721099999994,34.15321454999998,42.624708,24032.0
20,adaptive,10,1.917833,2.0922458,27.9165835,42.41461219999999,51.38774359999998,60.360875,47843.5
20,goo_dp,10,0.277666,0.284641,0.41102099999999997,0.7006332999999999,0.7389206499999998,0.777208,640.5
20,linearized_dp,10,0.056917,0.058303900000000006,0.068208,0.0917913,0.09610364999999998,0.100416,41.0
30,adaptive,10,2.699459,2.7078587,2.8189789999999997,2.9774791,3.0161975500000002,3.054916,52.0
30,goo_dp,10,0.628292,0.7207661000000001,0.9727915,1.0904958,1.1591018999999998,1.227708,1228.5
30,linearized_dp,10,0.108875,0.1146503,0.1263755,0.19728299999999993,0.2381204999999999,0.278958,52.0
40,adaptive,10,3.460375,3.5123878,3.6838125,3.7503332999999994,3.8159581499999997,3.881583,62.0
40,goo_dp,10,1.466167,1.5758545,1.873146,2.1134462,2.455577599999999,2.797709,1613.5
40,linearized_dp,10,0.197042,0.2050673,0.219646,0.25430410000000003,0.26073504999999997,0.267166,62.0
70,adaptive,10,6.587,6.78815,8.0295,8.9583628,9.0554314,9.1525,95.0
70,goo_dp,10,10.714917,10.754216399999999,11.1907915,11.8803128,12.111593899999999,12.342875,3947.0
70,linearized_dp,10,0.817959,0.8426712000000001,0.861437,0.9526125000000001,0.95311875,0.953625,95.0
100,adaptive,10,12.864042,13.1294664,13.4866875,14.0125253,14.19976265,14.387,125.0
100,goo_dp,10,41.961708,42.7792833,43.9726045,45.4400666,45.8493038,46.258541,7483.5
100,linearized_dp,10,2.277084,2.3032955999999998,2.414396,2.5917456000000003,2.6380398,2.684334,125.0
128,adaptive,10,110.3715,112.4218125,113.86685399999999,116.1318167,116.37005435,116.608292,10778.0
128,goo_dp,10,110.517041,112.8990413,113.8282705,116.0655539,116.87204795,117.678542,10778.0
128,linearized_dp,10,4.704333,4.7155083,4.9145415,5.3784923,5.40451715,5.430542,154.0
192,adaptive,10,608.215709,627.4756712000001,638.9235,661.9242872000001,662.9990186,664.07375,22838.5
192,goo_dp,10,613.628,627.6266756,635.7519585,661.2519080000001,662.8643705000001,664.476833,22838.5
192,linearized_dp,10,15.23625,15.5595372,15.7891665,16.063483700000003,16.30565885,16.547834,218.0
256,adaptive,10,2247.534,2267.1453744,2339.4526875,2388.0132961,2397.5791895499997,2407.145083,38570.5
256,goo_dp,10,2255.795292,2265.3343164000003,2333.3224170000003,2408.3533755999997,2413.8356878000004,2419.318,38570.5
256,linearized_dp,10,36.276667,36.3337792,36.684021,37.2393542,37.2836981,37.328042,282.0
