suite,shape,relations,variant,selected_algorithm,query_id,repetition,operations,duration_ns,candidate_operators
random_tree_algorithms,random_tree,10,adaptive,DpHyp,0,0,1,266958,464
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,0,0,1,26209,28
random_tree_algorithms,random_tree,10,goo_dp,GooDp,0,0,1,236834,509
random_tree_algorithms,random_tree,10,adaptive,DpHyp,1,0,1,355000,873
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,1,0,1,18542,11
random_tree_algorithms,random_tree,10,goo_dp,GooDp,1,0,1,375250,918
random_tree_algorithms,random_tree,10,adaptive,DpHyp,2,0,1,156709,240
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,2,0,1,117625,25
random_tree_algorithms,random_tree,10,goo_dp,GooDp,2,0,1,227292,285
random_tree_algorithms,random_tree,10,adaptive,DpHyp,3,0,1,326958,426
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,3,0,1,34542,17
random_tree_algorithms,random_tree,10,goo_dp,GooDp,3,0,1,339875,471
random_tree_algorithms,random_tree,10,adaptive,DpHyp,4,0,1,358750,482
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,4,0,1,37458,27
random_tree_algorithms,random_tree,10,goo_dp,GooDp,4,0,1,374625,527
random_tree_algorithms,random_tree,10,adaptive,DpHyp,5,0,1,330667,417
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,5,0,1,37125,33
random_tree_algorithms,random_tree,10,goo_dp,GooDp,5,0,1,340458,462
random_tree_algorithms,random_tree,10,adaptive,DpHyp,6,0,1,463250,654
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,6,0,1,29709,15
random_tree_algorithms,random_tree,10,goo_dp,GooDp,6,0,1,496834,699
random_tree_algorithms,random_tree,10,adaptive,DpHyp,7,0,1,272875,345
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,7,0,1,55584,96
random_tree_algorithms,random_tree,10,goo_dp,GooDp,7,0,1,293125,390
random_tree_algorithms,random_tree,10,adaptive,DpHyp,8,0,1,564083,869
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,8,0,1,31458,24
random_tree_algorithms,random_tree,10,goo_dp,GooDp,8,0,1,560625,914
random_tree_algorithms,random_tree,10,adaptive,DpHyp,9,0,1,214583,293
random_tree_algorithms,random_tree,10,linearized_dp,LinearizedDp,9,0,1,35917,37
random_tree_algorithms,random_tree,10,goo_dp,GooDp,9,0,1,231500,338
random_tree_algorithms,random_tree,20,adaptive,DpHyp,0,0,1,23079750,30215
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,0,0,1,90833,64
random_tree_algorithms,random_tree,20,goo_dp,GooDp,0,0,1,390667,491
random_tree_algorithms,random_tree,20,adaptive,LinearizedDp,1,0,1,2304916,23
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,1,0,1,60833,23
random_tree_algorithms,random_tree,20,goo_dp,GooDp,1,0,1,692125,1036
random_tree_algorithms,random_tree,20,adaptive,DpHyp,2,0,1,26547000,42068
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,2,0,1,75625,45
random_tree_algorithms,random_tree,20,goo_dp,GooDp,2,0,1,777208,1119
random_tree_algorithms,random_tree,20,adaptive,DpHyp,3,0,1,60360875,100122
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,3,0,1,68083,33
random_tree_algorithms,random_tree,20,goo_dp,GooDp,3,0,1,431375,654
random_tree_algorithms,random_tree,20,adaptive,LinearizedDp,4,0,1,1917833,37
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,4,0,1,56917,37
random_tree_algorithms,random_tree,20,goo_dp,GooDp,4,0,1,313708,510
random_tree_algorithms,random_tree,20,adaptive,DpHyp,5,0,1,31141916,56547
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,5,0,1,68333,45
random_tree_algorithms,random_tree,20,goo_dp,GooDp,5,0,1,382625,627
random_tree_algorithms,random_tree,20,adaptive,DpHyp,6,0,1,34618291,59723
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,6,0,1,58458,25
random_tree_algorithms,random_tree,20,goo_dp,GooDp,6,0,1,481250,781
random_tree_algorithms,random_tree,20,adaptive,DpHyp,7,0,1,40420583,71843
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,7,0,1,100416,121
random_tree_algorithms,random_tree,20,goo_dp,GooDp,7,0,1,440375,700
random_tree_algorithms,random_tree,20,adaptive,LinearizedDp,8,0,1,2111625,34
random_tree_algorithms,random_tree,20,linearized_dp,LinearizedDp,8,0,1,65875,34
