shape,variant,relations,samples,min_ns,p10_ns,median_ns,p90_ns,max_ns
mixed_set_ops,allocating_assign,32,5,5.3979,5.39792,5.4,5.566230000000001,5.67705
mixed_set_ops,allocating_assign,63,5,5.3979,5.3979,5.4,5.40459,5.40625
mixed_set_ops,allocating_assign,64,5,5.3979,5.39958,5.40625,5.80417,5.85415
mixed_set_ops,allocating_assign,65,5,22.7042,22.82336,23.3646,26.627919999999996,27.6104
mixed_set_ops,allocating_assign,127,5,23.48125,23.549590000000002,23.7729,24.515410000000003,24.88125
mixed_set_ops,allocating_assign,128,5,23.4875,23.48916,24.6896,24.84668,24.8917
mixed_set_ops,allocating_assign,129,5,25.10205,25.16039,25.5042,27.586660000000002,28.475
mixed_set_ops,allocating_assign,256,5,26.6896,26.762099999999997,27.1021,29.32167,30.22085
mixed_set_ops,allocating_assign,512,5,29.49375,29.499589999999998,29.6625,32.67457,34.23955
mixed_set_ops,allocating_assign,1024,5,38.3396,38.3546,38.5979,41.51251,42.85835
mixed_set_ops,borrowed_union,32,5,2.46045,2.46127,2.4625,2.73914,2.9208
mixed_set_ops,borrowed_union,63,5,2.4625,2.4625,2.4667,2.51416,2.5458
mixed_set_ops,borrowed_union,64,5,2.4625,2.4625,2.4646,2.8346099999999996,3.03545
mixed_set_ops,borrowed_union,65,5,23.2833,23.2833,23.80205,26.2325,27.7625
mixed_set_ops,borrowed_union,127,5,24.6625,24.74334,25.30835,26.410019999999996,27.0292
mixed_set_ops,borrowed_union,128,5,24.65415,24.67165,25.1,28.44252,30.3542
mixed_set_ops,borrowed_union,129,5,26.4354,26.663740000000004,27.0979,29.23126,29.2771
mixed_set_ops,borrowed_union,256,5,26.7146,27.0171,28.3896,31.64624,33.6104
mixed_set_ops,borrowed_union,512,5,29.42085,29.55001,30.5479,31.050400000000003,31.0729
mixed_set_ops,borrowed_union,1024,5,41.75415,41.855830000000005,42.75415,45.74417,46.85835
mixed_set_ops,in_place_assign,32,5,2.55,2.55666,2.5771,2.58584,2.5875
mixed_set_ops,in_place_assign,63,5,2.5271,2.5370999999999997,2.55625,2.5575099999999997,2.55835
mixed_set_ops,in_place_assign,64,5,2.52085,2.53251,2.55835,2.8179,2.9354
mixed_set_ops,in_place_assign,65,5,2.8583,2.85914,2.8625,2.94456,2.9479
mixed_set_ops,in_place_assign,127,5,3.42705,3.4270699999999996,3.43335,3.9504099999999998,3.99375
mixed_set_ops,in_place_assign,128,5,3.43125,3.43125,3.5521,3.79666,3.875
mixed_set_ops,in_place_assign,129,5,3.82085,3.8233300000000003,3.83335,4.0616900000000005,4.20835
mixed_set_ops,in_place_assign,256,5,5.8146,5.8746,6.58955,6.72414,6.7583
mixed_set_ops,in_place_assign,512,5,6.4604,6.46124,6.55835,6.752089999999999,6.84375
mixed_set_ops,in_place_assign,1024,5,11.1708,11.45832,12.2833,12.82957,12.86875
set_build,from_iter,32,5,36.416,36.449600000000004,36.584,36.9,37.0
set_build,from_iter,63,5,65.166,65.1996,65.334,65.4336,65.5
set_build,from_iter,64,5,64.75,64.8164,65.0,71.14959999999999,73.916
set_build,from_iter,65,5,122.668,122.76800000000001,126.582,129.5168,131.084
set_build,from_iter,127,5,153.166,154.7332,157.166,166.4,169.0
set_build,from_iter,128,5,155.668,155.70080000000002,165.668,174.6336,180.5
set_build,from_iter,129,5,107.5,107.6336,108.0,113.26559999999999,115.832
set_build,from_iter,256,5,152.0,153.36720000000003,155.5,171.4,176.5
set_build,from_iter,512,5,339.416,339.51599999999996,340.166,371.85040000000004,379.084
set_build,from_iter,1024,5,625.166,629.5332,642.584,672.8499999999999,678.25
set_build,incremental_with,32,5,85.916,85.9496,86.834,90.6,93.0
set_build,incremental_with,63,5,171.416,171.4168,173.25,173.7004,173.834
set_build,incremental_with,64,5,171.25,171.3172,171.668,196.86720000000003,213.5
set_build,incremental_with,65,5,210.166,210.3332,210.584,218.7672,219.0
set_build,incremental_with,127,5,2026.166,2038.4996,2085.166,2205.7504,2255.584
set_build,incremental_with,128,5,2165.418,2177.5508,2304.416,2378.9503999999997,2399.084
set_build,incremental_with,129,5,2214.166,2217.5668,2228.0,2297.3164,2331.25
set_build,incremental_with,256,5,6266.168,6338.5671999999995,6481.0,6651.9332,6742.666
set_build,incremental_with,512,5,15201.25,15371.716400000001,15735.416,15886.9996,15905.166
set_build,incremental_with,1024,5,34445.084,34500.184,34595.666,35120.4164,35231.75
